Player,Nationality,Born,Region,Status,Current Role,Team,Approx. Total Winnings,Controller
Thelulz,,,,,,,,Not Listed
Alpe,,,,,,,,Not Listed
Jauum,,,,,,,,Not Listed
Wisty,,,,,,,,Not Listed
Gian,,,,,,,,Not Listed
Valt,,,,,,,,Not Listed
Chr1s,,,,,,,,Not Listed
Brenoxx,,,,,,,,Not Listed
Edu,,,,,,,,Not Listed
Senzo,,,,,,,,Not Listed
Tmim,,,,,,,,Not Listed
Night1233,,,,,,,,Not Listed
Willie.,,,,,,,,Not Listed
Lynx_(Kuwaiti_Player),,,,,,,,Not Listed
King,,,,,,,,Not Listed
J8r,,,,,,,,Not Listed
Abood.,,,,,,,,Not Listed
Ziyad,,,,,,,,Not Listed
Nawaf90,,,,,,,,Not Listed
